기준일,기준일_시트명,학원순서,학원명,올해_재학생,올해_N수,올해_총인원,올해_총인원_원본열,원본총원_차이,전년_재학생,전년_N수,전년_총인원,목표_재학생,목표_N수,목표_총인원,전년대비_재학생_증감,전년대비_N수_증감,전년대비_총원_증감,전년대비_총원_증감률,목표대비_재학생_차이,목표대비_N수_차이,목표대비_총원_차이,목표달성률_총원,원본파일,원본시트,원본행,추출_올해총원열,추출_목표열,추출_전년열
2026-04-08,4.8(수),8,분당,161,360,521,521,0,207,368,575,215,370,585,-46,-8,-54,-0.09391304347826086,-54,-10,-64,0.8905982905982905,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.8(수),20,L,Y/Z,AB/AC
2026-04-08,4.8(수),9,대구,162,446,608,608,0,174,445,619,213,425,638,-12,1,-11,-0.017770597738287562,-51,21,-30,0.9529780564263323,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.8(수),21,L,Y/Z,AB/AC
2026-04-08,4.8(수),10,대전,110,191,301,301,0,112,203,315,115,195,310,-2,-12,-14,-0.044444444444444446,-5,-4,-9,0.9709677419354839,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.8(수),22,L,Y/Z,AB/AC
2026-04-12,4.12(일),1,최상위권 전문관,0,759,759,759,0,0,549,549,0,610,610,0,210,210,0.3825136612021858,0,149,149,1.2442622950819673,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.12(일),12,L,Y/Z,AB/AC
2026-04-12,4.12(일),2,기숙 종합관,0,411,411,411,0,0,257,257,0,390,390,0,154,154,0.5992217898832685,0,21,21,1.0538461538461539,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.12(일),13,L,Y/Z,AB/AC
2026-04-12,4.12(일),3,여학생 전문관,0,323,323,421,-98,0,404,404,0,400,400,0,-81,-81,-0.2004950495049505,0,-77,-77,0.8075,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.12(일),14,L,Y/Z,AB/AC
2026-04-12,4.12(일),4,여학생 수학전문관,0,98,98,,,0,0,0,0,0,0,0,98,98,,0,98,98,,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.12(일),15,L,Y/Z,AB/AC
2026-04-12,4.12(일),5,남학생 전문관,0,457,457,457,0,0,432,432,0,450,450,0,25,25,0.05787037037037037,0,7,7,1.0155555555555555,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.12(일),16,L,Y/Z,AB/AC
2026-04-12,4.12(일),6,강남,102,186,288,288,0,98,158,256,99,320,419,4,28,32,0.125,3,-134,-131,0.6873508353221957,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.12(일),18,L,Y/Z,AB/AC
2026-04-12,4.12(일),7,목동,83,277,360,360,0,86,320,406,87,333,420,-3,-43,-46,-0.11330049261083744,-4,-56,-60,0.8571428571428571,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.12(일),19,L,Y/Z,AB/AC
